L Ef kx gap_microeV
3.000000000000000000e+02 2.222222222222222498e-06 1.777777777777777863e-03 2.661106701183690859e+00
3.000000000000000000e+02 2.222222222222222498e-06 2.000000000000000042e-03 2.993109423065298813e+00
3.000000000000000000e+02 3.333333333333333747e-06 0.000000000000000000e+00 2.486899575160350651e-11
3.000000000000000000e+02 3.333333333333333747e-06 2.222222222222222329e-04 4.993364303382819003e-01
3.000000000000000000e+02 3.333333333333333747e-06 4.444444444444444657e-04 9.986361520946118731e-01
3.000000000000000000e+02 3.333333333333333747e-06 6.666666666666667528e-04 1.497862359088664164e+00
3.000000000000000000e+02 3.333333333333333747e-06 8.888888888888889315e-04 1.996978050097020230e+00
3.000000000000000000e+02 3.333333333333333747e-06 1.111111111111111110e-03 2.495945931597631784e+00
3.000000000000000000e+02 3.333333333333333747e-06 1.333333333333333506e-03 2.994728320536488297e+00
3.000000000000000000e+02 3.333333333333333747e-06 1.555555555555555684e-03 3.493287047961146641e+00
3.000000000000000000e+02 3.333333333333333747e-06 1.777777777777777863e-03 3.991583362535244817e+00
3.000000000000000000e+02 3.333333333333333747e-06 2.000000000000000042e-03 4.489577835036229203e+00
3.000000000000000000e+02 4.444444444444444996e-06 0.000000000000000000e+00 3.019806626980425790e-11
3.000000000000000000e+02 4.444444444444444996e-06 2.222222222222222329e-04 6.657640344815973776e-01
3.000000000000000000e+02 4.444444444444444996e-06 4.444444444444444657e-04 1.331479122617551525e+00
3.000000000000000000e+02 4.444444444444444996e-06 6.666666666666667528e-04 1.997096187858815597e+00
3.000000000000000000e+02 4.444444444444444996e-06 8.888888888888889315e-04 2.662565893536417150e+00
3.000000000000000000e+02 4.444444444444444996e-06 1.111111111111111110e-03 3.327838513200731541e+00
3.000000000000000000e+02 4.444444444444444996e-06 1.333333333333333506e-03 3.992863801011381497e+00
3.000000000000000000e+02 4.444444444444444996e-06 1.555555555555555684e-03 4.657590862949589905e+00
3.000000000000000000e+02 4.444444444444444996e-06 1.777777777777777863e-03 5.321968028574985965e+00
3.000000000000000000e+02 4.444444444444444996e-06 2.000000000000000042e-03 5.985942723160775358e+00
3.000000000000000000e+02 5.555555555555555822e-06 0.000000000000000000e+00 2.309263891220325604e-11
3.000000000000000000e+02 5.555555555555555822e-06 2.222222222222222329e-04 8.321763278207328085e-01
3.000000000000000000e+02 5.555555555555555822e-06 4.444444444444444657e-04 1.664291470110157434e+00
3.000000000000000000e+02 5.555555555555555822e-06 6.666666666666667528e-04 2.496284078583599353e+00
3.000000000000000000e+02 5.555555555555555822e-06 8.888888888888889315e-04 3.328092479805810910e+00
3.000000000000000000e+02 5.555555555555555822e-06 1.111111111111111110e-03 4.159654512745802890e+00
3.000000000000000000e+02 5.555555555555555822e-06 1.333333333333333506e-03 4.990907367203867295e+00
3.000000000000000000e+02 5.555555555555555822e-06 1.555555555555555684e-03 5.821787422475743767e+00
3.000000000000000000e+02 5.555555555555555822e-06 1.777777777777777863e-03 6.652230087057731112e+00
3.000000000000000000e+02 5.555555555555555822e-06 2.000000000000000042e-03 7.482169638817204316e+00
3.000000000000000000e+02 6.666666666666667494e-06 0.000000000000000000e+00 4.529709940470638685e-11
3.000000000000000000e+02 6.666666666666667494e-06 2.222222222222222329e-04 9.985694933520861127e-01
3.000000000000000000e+02 6.666666666666667494e-06 4.444444444444444657e-04 1.997065560251698457e+00
3.000000000000000000e+02 6.666666666666667494e-06 6.666666666666667528e-04 2.995414578957245055e+00
3.000000000000000000e+02 6.666666666666667494e-06 8.888888888888889315e-04 3.993542537261696168e+00
