L Ef kx gap_2nd_microeV gap_4th_microeV
4.000000000000000000e+02 3.846153846153845947e-06 5.909090909090908977e-03 1.547828023377388007e+01 1.542774396152708150e+01
4.000000000000000000e+02 3.846153846153845947e-06 6.060606060606060601e-03 1.587515921412955677e+01 1.582073598990502816e+01
4.000000000000000000e+02 3.846153846153845947e-06 6.212121212121212224e-03 1.627203819447916544e+01 1.621353122207343844e+01
4.000000000000000000e+02 3.846153846153845947e-06 6.363636363636363848e-03 1.666891717483440871e+01 1.660612473812668455e+01
4.000000000000000000e+02 3.846153846153845947e-06 6.515151515151515471e-03 1.706579615519008897e+01 1.699851161815263012e+01
4.000000000000000000e+02 3.846153846153845947e-06 6.666666666666666227e-03 1.746267513554489881e+01 1.739068694225302281e+01
4.000000000000000000e+02 3.846153846153845947e-06 6.818181818181817851e-03 1.785955411589840836e+01 1.778264579052179428e+01
4.000000000000000000e+02 3.846153846153845947e-06 6.969696969696969474e-03 1.825643309625235133e+01 1.817438324305245345e+01
4.000000000000000000e+02 3.846153846153845947e-06 7.121212121212121098e-03 1.865331207660716473e+01 1.856589437993546454e+01
4.000000000000000000e+02 3.846153846153845947e-06 7.272727272727272721e-03 1.905019105696067427e+01 1.895717428127560922e+01
4.000000000000000000e+02 3.846153846153845947e-06 7.424242424242424344e-03 1.944707003731635098e+01 1.934821802715338279e+01
4.000000000000000000e+02 3.846153846153845947e-06 7.575757575757575968e-03 1.984394901766942709e+01 1.973902069768050183e+01
4.000000000000000000e+02 3.846153846153845947e-06 7.727272727272727591e-03 2.024082799802293664e+01 2.012957737293659477e+01
4.000000000000000000e+02 3.846153846153845947e-06 7.878787878787879215e-03 2.063770697837688317e+01 2.051988313302513589e+01
4.000000000000000000e+02 3.846153846153845947e-06 8.030303030303029971e-03 2.103458595872995929e+01 2.090993305803963054e+01
4.000000000000000000e+02 3.846153846153845947e-06 8.181818181818182462e-03 2.143146493908693628e+01 2.129972222807185034e+01
4.000000000000000000e+02 3.846153846153845947e-06 8.333333333333333218e-03 2.182834391943741181e+01 2.168924572321876454e+01
4.000000000000000000e+02 3.846153846153845947e-06 8.484848484848483974e-03 2.222522289979222165e+01 2.207849862357388204e+01
4.000000000000000000e+02 3.846153846153845947e-06 8.636363636363636465e-03 2.262210188014746848e+01 2.246747600923113808e+01
4.000000000000000000e+02 3.846153846153845947e-06 8.787878787878787221e-03 2.301898086050141146e+01 2.285617296028750189e+01
4.000000000000000000e+02 3.846153846153845947e-06 8.939393939393939711e-03 2.341585984085448757e+01 2.324458455684038682e+01
4.000000000000000000e+02 3.846153846153845947e-06 9.090909090909090468e-03 2.381273882120799712e+01 2.363270587897852693e+01
4.000000000000000000e+02 3.846153846153845947e-06 9.242424242424242958e-03 2.420961780156194010e+01 2.402053200679845446e+01
4.000000000000000000e+02 3.846153846153845947e-06 9.393939393939393714e-03 2.460649678191762035e+01 2.440805802039281147e+01
4.000000000000000000e+02 3.846153846153845947e-06 9.545454545454546205e-03 2.500337576226852576e+01 2.479527899986377548e+01
4.000000000000000000e+02 3.846153846153845947e-06 9.696969696969696961e-03 2.540025474262420602e+01 2.518219002529704298e+01
4.000000000000000000e+02 3.846153846153845947e-06 9.848484848484847717e-03 2.579713372297988272e+01 2.556878617679479149e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.000000000000000021e-02 2.619401270333252540e+01 2.595506253444315092e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.015151515151515096e-02 2.659089168368820566e+01 2.634101417834776981e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.030303030303030346e-02 2.698777066404214864e+01 2.672663618859781565e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.045454545454545421e-02 2.738464964439305760e+01 2.711192364528592336e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.060606060606060670e-02 2.778152862475220530e+01 2.749687162850473499e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.075757575757575746e-02 2.817840760510441456e+01 2.788147521835815468e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.090909090909090995e-02 2.857528658545705724e+01 2.826572949493014875e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.106060606060606070e-02 2.897216556581100022e+01 2.864962953832723258e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.121212121212121146e-02 2.936904454616667692e+01 2.903317042863596953e+01
4.000000000000000000e+02 3.846153846153845947e-06 1.136363636363636395e-02 2.976592352651931961e+01 2.941634724594899808e+01
