L Ef kx gap_2nd_microeV gap_4th_microeV
7.000000000000000000e+02 0.000000000000000000e+00 2.383838383838383923e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.424242424242424240e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.464646464646464558e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.505050505050505309e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.545454545454545626e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.585858585858585943e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.626262626262626260e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.666666666666666578e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.707070707070707329e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.747474747474747646e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.787878787878787963e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.828282828282828280e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.868686868686868598e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.909090909090909349e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.949494949494949666e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 2.989898989898989983e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.030303030303030300e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.070707070707070618e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.111111111111111369e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.151515151515151686e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.191919191919192003e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.232323232323232320e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.272727272727272638e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.313131313131313389e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.353535353535353706e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.393939393939394023e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.434343434343434340e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.474747474747474658e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.515151515151515409e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.555555555555555726e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.595959595959596043e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.636363636363636360e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.676767676767676678e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.717171717171717429e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.757575757575757746e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.797979797979798063e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.838383838383838381e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.878787878787879131e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.919191919191919449e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 3.959595959595959766e-03 9.974659986866640793e-12 9.974659986866640793e-12
7.000000000000000000e+02 0.000000000000000000e+00 4.000000000000000083e-03 9.974659986866640793e-12 9.974659986866640793e-12
