kx  E  alpha(eV.A)  gap_meV
4.000000000000000192e-04 1.199999999999999822e+01 9.003492702134399672e-02 7.202794161567661035e+01
4.800000000000000664e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000664e-04 5.999999999999999778e-01 2.070512511330408617e-02 1.987692010886957306e+01
4.800000000000000664e-04 1.199999999999999956e+00 4.033246325058876397e-02 3.871916472050806135e+01
4.800000000000000664e-04 1.799999999999999822e+00 5.818066908273184651e-02 5.585344231942293192e+01
4.800000000000000664e-04 2.399999999999999911e+00 7.375360799715724447e-02 7.080346367741019264e+01
4.800000000000000664e-04 2.999999999999999556e+00 8.668186526372335943e-02 8.321459065321195681e+01
4.800000000000000664e-04 3.599999999999999645e+00 9.678071716774254429e-02 9.290948848089848866e+01
4.800000000000000664e-04 4.199999999999999289e+00 1.040856182483665265e-01 9.992219351826966545e+01
4.800000000000000664e-04 4.799999999999999822e+00 1.088289742818179251e-01 1.044758153111134646e+02
4.800000000000000664e-04 5.399999999999998579e+00 1.113769295656265035e-01 1.069218523832605996e+02
4.800000000000000664e-04 5.999999999999999112e+00 1.121558336009116502e-01 1.076696002560439922e+02
4.800000000000000664e-04 6.599999999999999645e+00 1.115906985220357361e-01 1.071270705812823962e+02
4.800000000000000664e-04 7.199999999999999289e+00 1.100650631630104015e-01 1.056624606365769097e+02
4.800000000000000664e-04 7.799999999999998934e+00 1.079015294372883821e-01 1.035854682597744869e+02
4.800000000000000664e-04 8.399999999999998579e+00 1.053574536724002364e-01 1.011431555260969333e+02
4.800000000000000664e-04 9.000000000000000000e+00 1.026296333505936492e-01 9.852444801727867230e+01
4.800000000000000664e-04 9.599999999999999645e+00 9.986315512889964996e-02 9.586862892370373856e+01
4.800000000000000664e-04 1.019999999999999929e+01 9.716130317270553485e-02 9.327485104916600278e+01
4.800000000000000664e-04 1.079999999999999716e+01 9.459485258012882702e-02 9.081105847720539259e+01
4.800000000000000664e-04 1.140000000000000036e+01 9.221002433124544928e-02 8.852162335470924859e+01
4.800000000000000664e-04 1.199999999999999822e+01 9.003492702135090786e-02 8.643352994749942297e+01
5.600000000000000594e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.600000000000000594e-04 5.999999999999999778e-01 2.070512511330420760e-02 2.318974012696390474e+01
5.600000000000000594e-04 1.199999999999999956e+00 4.033246325058854193e-02 4.517235884061565088e+01
5.600000000000000594e-04 1.799999999999999822e+00 5.818066908273005627e-02 6.516234937265321037e+01
5.600000000000000594e-04 2.399999999999999911e+00 7.375360799715441340e-02 8.260404095672413405e+01
5.600000000000000594e-04 2.999999999999999556e+00 8.668186526372238798e-02 9.708368909533416513e+01
5.600000000000000594e-04 3.599999999999999645e+00 9.678071716774196143e-02 1.083944032278065492e+02
5.600000000000000594e-04 4.199999999999999289e+00 1.040856182483738679e-01 1.165758924389081983e+02
5.600000000000000594e-04 4.799999999999999822e+00 1.088289742818209227e-01 1.218884511954808403e+02
5.600000000000000594e-04 5.399999999999998579e+00 1.113769295656208691e-01 1.247421611126897574e+02
5.600000000000000594e-04 5.999999999999999112e+00 1.121558336009114837e-01 1.256145336317460135e+02
5.600000000000000594e-04 6.599999999999999645e+00 1.115906985220355974e-01 1.249815823457719972e+02
5.600000000000000594e-04 7.199999999999999289e+00 1.100650631630080839e-01 1.232728707423330690e+02
5.600000000000000594e-04 7.799999999999998934e+00 1.079015294372895062e-01 1.208497129700225656e+02
5.600000000000000594e-04 8.399999999999998579e+00 1.053574536723965727e-01 1.180003481118588269e+02
5.600000000000000594e-04 9.000000000000000000e+00 1.026296333505967717e-01 1.149451893542041745e+02
5.600000000000000594e-04 9.599999999999999645e+00 9.986315512890019119e-02 1.118467337431067250e+02
5.600000000000000594e-04 1.019999999999999929e+01 9.716130317270535444e-02 1.088206595545870812e+02
5.600000000000000594e-04 1.079999999999999716e+01 9.459485258012520492e-02 1.059462348911160916e+02
5.600000000000000594e-04 1.140000000000000036e+01 9.221002433124499131e-02 1.032752272490528043e+02
5.600000000000000594e-04 1.199999999999999822e+01 9.003492702134155423e-02 1.008391182595463960e+02
6.400000000000000524e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.400000000000000524e-04 5.999999999999999778e-01 2.070512511330355188e-02 2.650256014503915480e+01
6.400000000000000524e-04 1.199999999999999956e+00 4.033246325058734150e-02 5.162555296083512957e+01
6.400000000000000524e-04 1.799999999999999822e+00 5.818066908273290122e-02 7.447125642588649441e+01
6.400000000000000524e-04 2.399999999999999911e+00 7.375360799715405258e-02 9.440461823628483273e+01
6.400000000000000524e-04 2.999999999999999556e+00 8.668186526372304024e-02 1.109527875375344195e+02
6.400000000000000524e-04 3.599999999999999645e+00 9.678071716774300226e-02 1.238793179743433797e+02
6.400000000000000524e-04 4.199999999999999289e+00 1.040856182483707593e-01 1.332295913582561013e+02
6.400000000000000524e-04 4.799999999999999822e+00 1.088289742818229905e-01 1.393010870809272035e+02
6.400000000000000524e-04 5.399999999999998579e+00 1.113769295656228814e-01 1.425624698444538581e+02
6.400000000000000524e-04 5.999999999999999112e+00 1.121558336009108037e-01 1.435594670083431481e+02
6.400000000000000524e-04 6.599999999999999645e+00 1.115906985220346537e-01 1.428360941089293306e+02
6.400000000000000524e-04 7.199999999999999289e+00 1.100650631630048781e-01 1.408832808474508340e+02
6.400000000000000524e-04 7.799999999999998934e+00 1.079015294372908801e-01 1.381139576798126711e+02
6.400000000000000524e-04 8.399999999999998579e+00 1.053574536723986960e-01 1.348575407009167009e+02
6.400000000000000524e-04 9.000000000000000000e+00 1.026296333505914565e-01 1.313659306873826722e+02
6.400000000000000524e-04 9.599999999999999645e+00 9.986315512889983037e-02 1.278248385631758310e+02
6.400000000000000524e-04 1.019999999999999929e+01 9.716130317269931760e-02 1.243664680632278134e+02
6.400000000000000524e-04 1.079999999999999716e+01 9.459485258012928499e-02 1.210814113008357111e+02
6.400000000000000524e-04 1.140000000000000036e+01 9.221002433124807218e-02 1.180288311428689951e+02
6.400000000000000524e-04 1.199999999999999822e+01 9.003492702134328896e-02 1.152447065859429927e+02
7.200000000000000453e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.200000000000000453e-04 5.999999999999999778e-01 2.070512511330397515e-02 2.981538016330089036e+01
7.200000000000000453e-04 1.199999999999999956e+00 4.033246325059042237e-02 5.807874708070809788e+01
7.200000000000000453e-04 1.799999999999999822e+00 5.818066908273179100e-02 8.378016347913556672e+01
7.200000000000000453e-04 2.399999999999999911e+00 7.375360799715571791e-02 1.062051955158529211e+02
7.200000000000000453e-04 2.999999999999999556e+00 8.668186526371979284e-02 1.248218859795282469e+02
7.200000000000000453e-04 3.599999999999999645e+00 9.678071716774433453e-02 1.393642327214145098e+02
7.200000000000000453e-04 4.199999999999999289e+00 1.040856182483682335e-01 1.498832902776317439e+02
7.200000000000000453e-04 4.799999999999999822e+00 1.088289742818225186e-01 1.567137229662452000e+02
7.200000000000000453e-04 5.399999999999998579e+00 1.113769295656214936e-01 1.603827785735326188e+02
7.200000000000000453e-04 5.999999999999999112e+00 1.121558336009144952e-01 1.615044003851831462e+02
7.200000000000000453e-04 6.599999999999999645e+00 1.115906985220292136e-01 1.606906058713442178e+02
7.200000000000000453e-04 7.199999999999999289e+00 1.100650631630013948e-01 1.584936909537829024e+02
7.200000000000000453e-04 7.799999999999998934e+00 1.079015294372914213e-01 1.553782023915734101e+02
