kx  E  alpha(eV.A)  gap_meV_2nd
4.800000000000000664e-04 1.000000000000000000e+00 4.437916620881591882e-03 4.260399956046434511e+00
4.800000000000000664e-04 1.500000000000000222e+00 5.550767174143115580e-03 5.328736487176557013e+00
4.800000000000000664e-04 2.000000000000000000e+00 6.401006786663085250e-03 6.144966515195596557e+00
4.800000000000000664e-04 2.500000000000000000e+00 7.078797483232338213e-03 6.795645583902720333e+00
4.800000000000000664e-04 3.000000000000000444e+00 7.633942743595255147e-03 7.328585033848645125e+00
4.800000000000000664e-04 3.500000000000000000e+00 8.097259323945940265e-03 7.773368950990400705e+00
4.800000000000000664e-04 4.000000000000000000e+00 8.489280330646518935e-03 8.149709117416525928e+00
4.800000000000000664e-04 4.500000000000000000e+00 8.824426186484402371e-03 8.471449139020592156e+00
4.800000000000000664e-04 5.000000000000000000e+00 9.113233010652092153e-03 8.748703690220072104e+00
4.800000000000000664e-04 5.500000000000000000e+00 9.363640642141532119e-03 8.989095016453951814e+00
4.800000000000000664e-04 6.000000000000000888e+00 9.581783186837397950e-03 9.198511859369318699e+00
4.800000000000000664e-04 6.500000000000000888e+00 9.772497819299249752e-03 9.381597906525652064e+00
4.800000000000000664e-04 7.000000000000000000e+00 9.939665131133939083e-03 9.542078525909269970e+00
4.800000000000000664e-04 7.500000000000000000e+00 1.008644420594065859e-02 9.682986437706265548e+00
4.800000000000000664e-04 8.000000000000000000e+00 1.021543943353778530e-02 9.806821856181425545e+00
4.800000000000000664e-04 8.500000000000000000e+00 1.032882165844171279e-02 9.915668792118136565e+00
4.800000000000000664e-04 9.000000000000000000e+00 1.042841794751947493e-02 1.001128122962713363e+01
4.800000000000000664e-04 9.500000000000000000e+00 1.051577928448974020e-02 1.009514811312062221e+01
4.800000000000000664e-04 1.000000000000000000e+01 1.059223241731227852e-02 1.016854312059500742e+01
5.600000000000000594e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.600000000000000594e-04 5.000000000000000000e-01 2.861452909293445666e-03 3.204827258409485236e+00
5.600000000000000594e-04 1.000000000000000000e+00 4.437916620881990869e-03 4.970466615387850062e+00
5.600000000000000594e-04 1.500000000000000222e+00 5.550767174142982874e-03 6.216859235040617548e+00
5.600000000000000594e-04 2.000000000000000000e+00 6.401006786663179793e-03 7.169127601061239474e+00
5.600000000000000594e-04 2.500000000000000000e+00 7.078797483232618371e-03 7.928253181218106072e+00
5.600000000000000594e-04 3.000000000000000444e+00 7.633942743595237800e-03 8.550015872826888241e+00
5.600000000000000594e-04 3.500000000000000000e+00 8.097259323945739037e-03 9.068930442817507043e+00
5.600000000000000594e-04 4.000000000000000000e+00 8.489280330646737510e-03 9.507993970321592769e+00
5.600000000000000594e-04 4.500000000000000000e+00 8.824426186484485637e-03 9.883357328863141333e+00
5.600000000000000594e-04 5.000000000000000000e+00 9.113233010652024499e-03 1.020682097192804250e+01
5.600000000000000594e-04 5.500000000000000000e+00 9.363640642141948453e-03 1.048727751919859053e+01
5.600000000000000594e-04 6.000000000000000888e+00 9.581783186837332031e-03 1.073159716925842133e+01
5.600000000000000594e-04 6.500000000000000888e+00 9.772497819299492613e-03 1.094519755760747870e+01
5.600000000000000594e-04 7.000000000000000000e+00 9.939665131134157658e-03 1.113242494688027051e+01
5.600000000000000594e-04 7.500000000000000000e+00 1.008644420594068114e-02 1.129681751063649209e+01
5.600000000000000594e-04 8.000000000000000000e+00 1.021543943353782867e-02 1.144129216554268247e+01
5.600000000000000594e-04 8.500000000000000000e+00 1.032882165844178912e-02 1.156828025744571775e+01
5.600000000000000594e-04 9.000000000000000000e+00 1.042841794751946279e-02 1.167982810122703086e+01
5.600000000000000594e-04 9.500000000000000000e+00 1.051577928448985642e-02 1.177767279861297034e+01
5.600000000000000594e-04 1.000000000000000000e+01 1.059223241731229413e-02 1.186330030737703467e+01
6.400000000000000524e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.400000000000000524e-04 5.000000000000000000e-01 2.861452909293393191e-03 3.662659723895067554e+00
6.400000000000000524e-04 1.000000000000000000e+00 4.437916620881948368e-03 5.680533274728859716e+00
6.400000000000000524e-04 1.500000000000000222e+00 5.550767174143182367e-03 7.104981982903810334e+00
6.400000000000000524e-04 2.000000000000000000e+00 6.401006786663276937e-03 8.193288686928617892e+00
6.400000000000000524e-04 2.500000000000000000e+00 7.078797483232070198e-03 9.060860778536961035e+00
6.400000000000000524e-04 3.000000000000000444e+00 7.633942743594698301e-03 9.771446711801662133e+00
6.400000000000000524e-04 3.500000000000000000e+00 8.097259323945806692e-03 1.036449193464808438e+01
6.400000000000000524e-04 4.000000000000000000e+00 8.489280330646884962e-03 1.086627882322666139e+01
6.400000000000000524e-04 4.500000000000000000e+00 8.824426186484404105e-03 1.129526551869874851e+01
6.400000000000000524e-04 5.000000000000000000e+00 9.113233010651915211e-03 1.166493825363601466e+01
6.400000000000000524e-04 5.500000000000000000e+00 9.363640642141608447e-03 1.198546002195016769e+01
6.400000000000000524e-04 6.000000000000000888e+00 9.581783186837481217e-03 1.226468247915446597e+01
6.400000000000000524e-04 6.500000000000000888e+00 9.772497819299388530e-03 1.250879720869624379e+01
6.400000000000000524e-04 7.000000000000000000e+00 9.939665131134164597e-03 1.272277136783739238e+01
6.400000000000000524e-04 7.500000000000000000e+00 1.008644420594061349e-02 1.291064858360835288e+01
6.400000000000000524e-04 8.000000000000000000e+00 1.021543943353806286e-02 1.307576247490393939e+01
6.400000000000000524e-04 8.500000000000000000e+00 1.032882165844185504e-02 1.322089172277329894e+01
6.400000000000000524e-04 9.000000000000000000e+00 1.042841794751945585e-02 1.334837497279917073e+01
6.400000000000000524e-04 9.500000000000000000e+00 1.051577928448972632e-02 1.346019748411919537e+01
6.400000000000000524e-04 1.000000000000000000e+01 1.059223241731217617e-02 1.355805749413130457e+01
7.200000000000000453e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.200000000000000453e-04 5.000000000000000000e-01 2.861452909293312526e-03 4.120492189382384929e+00
7.200000000000000453e-04 1.000000000000000000e+00 4.437916620881462645e-03 6.390599934069380872e+00
7.200000000000000453e-04 1.500000000000000222e+00 5.550767174143047059e-03 7.993104730767003119e+00
7.200000000000000453e-04 2.000000000000000000e+00 6.401006786663258723e-03 9.217449772792527085e+00
7.200000000000000453e-04 2.500000000000000000e+00 7.078797483232059790e-03 1.019346837585755061e+01
7.200000000000000453e-04 3.000000000000000444e+00 7.633942743595247341e-03 1.099287755077296680e+01
7.200000000000000453e-04 3.500000000000000000e+00 8.097259323945855264e-03 1.166005342648560017e+01
7.200000000000000453e-04 4.000000000000000000e+00 8.489280330646326381e-03 1.222456367613519745e+01
7.200000000000000453e-04 4.500000000000000000e+00 8.824426186484511658e-03 1.270717370854129769e+01
7.200000000000000453e-04 5.000000000000000000e+00 9.113233010651998478e-03 1.312305553533704661e+01
7.200000000000000453e-04 5.500000000000000000e+00 9.363640642141681306e-03 1.348364252468786617e+01
7.200000000000000453e-04 6.000000000000000888e+00 9.581783186837517646e-03 1.379776778903663015e+01
7.200000000000000453e-04 6.500000000000000888e+00 9.772497819299201180e-03 1.407239685979194732e+01
7.200000000000000453e-04 7.000000000000000000e+00 9.939665131134187148e-03 1.431311778880839469e+01
7.200000000000000453e-04 7.500000000000000000e+00 1.008644420594077655e-02 1.452447965653858120e+01
7.200000000000000453e-04 8.000000000000000000e+00 1.021543943353805418e-02 1.471023278427907499e+01
7.200000000000000453e-04 8.500000000000000000e+00 1.032882165844165208e-02 1.487350318815638950e+01
7.200000000000000453e-04 9.000000000000000000e+00 1.042841794751957207e-02 1.501692184441294486e+01
7.200000000000000453e-04 9.500000000000000000e+00 1.051577928448992061e-02 1.514272216965317774e+01
7.200000000000000453e-04 1.000000000000000000e+01 1.059223241731229066e-02 1.525281468092720694e+01
8.000000000000000383e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000383e-04 5.000000000000000000e-01 2.861452909293379747e-03 4.578324654869701860e+00
8.000000000000000383e-04 1.000000000000000000e+00 4.437916620880934422e-03 7.100666593409549421e+00
8.000000000000000383e-04 1.500000000000000222e+00 5.550767174143101702e-03 8.881227478629329042e+00
8.000000000000000383e-04 2.000000000000000000e+00 6.401006786663409644e-03 1.024161085865817000e+01
8.000000000000000383e-04 2.500000000000000000e+00 7.078797483232364234e-03 1.132607597317120174e+01
8.000000000000000383e-04 3.000000000000000444e+00 7.633942743594380846e-03 1.221430838974427147e+01
8.000000000000000383e-04 3.500000000000000000e+00 8.097259323945824039e-03 1.295561491830923906e+01
8.000000000000000383e-04 4.000000000000000000e+00 8.489280330646459954e-03 1.358284852903679507e+01
8.000000000000000383e-04 4.500000000000000000e+00 8.824426186484515128e-03 1.411908189836996641e+01
8.000000000000000383e-04 5.000000000000000000e+00 9.113233010651852761e-03 1.458117281704501877e+01
8.000000000000000383e-04 5.500000000000000000e+00 9.363640642141608447e-03 1.498182502742556643e+01
8.000000000000000383e-04 6.000000000000000888e+00 9.581783186837566219e-03 1.533085309891879433e+01
8.000000000000000383e-04 6.500000000000000888e+00 9.772497819299371183e-03 1.563599651087377396e+01
8.000000000000000383e-04 7.000000000000000000e+00 9.939665131134005002e-03 1.590346420980715081e+01
8.000000000000000383e-04 7.500000000000000000e+00 1.008644420594054583e-02 1.613831072948268641e+01
8.000000000000000383e-04 8.000000000000000000e+00 1.021543943353811316e-02 1.634470309364033369e+01
8.000000000000000383e-04 8.500000000000000000e+00 1.032882165844189667e-02 1.652611465348396891e+01
8.000000000000000383e-04 9.000000000000000000e+00 1.042841794751946452e-02 1.668546871602671899e+01
8.000000000000000383e-04 9.500000000000000000e+00 1.051577928448996224e-02 1.682524685515940277e+01
8.000000000000000383e-04 1.000000000000000000e+01 1.059223241731220393e-02 1.694757186770923241e+01
8.800000000000000313e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
