# Energy    MatrixElement
-5.4683372913e-01 1.8065973528e-30
-5.4676496384e-01 1.1506556712e-06
-5.4592723781e-01 1.6970716162e-30
-5.4559961466e-01 1.8148663831e-09
-5.4538561577e-01 1.3587910373e-30
-5.4519766496e-01 1.5298768747e-30
-5.4495509504e-01 3.8578200292e-30
-5.4437876970e-01 1.6946325473e-06
-5.4425814014e-01 6.4164839946e-30
-5.4384002529e-01 3.2546853410e-07
-5.4188859202e-01 6.1743786756e-30
-5.3992553640e-01 7.6818286501e-06
-5.3980953285e-01 4.0069487654e-29
-5.3886203183e-01 2.8366315439e-05
-5.3864719811e-01 1.7874148063e-06
-5.3823975197e-01 2.7209113365e-29
-5.3805192791e-01 6.0680017984e-06
-5.3761561890e-01 3.6351892711e-05
-5.3704534740e-01 4.7518730782e-29
-5.3699535448e-01 3.2370163649e-06
-5.3606867168e-01 2.6844417549e-06
-5.3548029539e-01 1.5696497462e-29
-5.3431329902e-01 5.7823371989e-06
-5.3379228120e-01 1.2507806935e-29
-5.3328682616e-01 3.4512331123e-05
-5.3284359108e-01 1.4492069936e-29
-5.3223921269e-01 6.4509442714e-06
-5.3092385027e-01 7.7691131672e-30
-5.3080639357e-01 1.3453441021e-06
-5.3055674457e-01 1.1531421203e-06
-5.2989853614e-01 3.1503392297e-06
-5.2966009356e-01 5.0748041602e-30
-5.2913540724e-01 1.7387881581e-29
-5.2899163060e-01 2.9210285661e-29
-5.2863261142e-01 9.0348503553e-05
-5.2765699724e-01 2.8307605728e-29
-5.2716309781e-01 6.8231005180e-05
-5.2634145076e-01 1.6530128825e-06
-5.2598016825e-01 4.7672338324e-30
-5.2556847409e-01 8.1563254827e-30
-5.2494388631e-01 9.9826043770e-30
-5.2460907674e-01 6.3111855945e-06
-5.2409482289e-01 2.7497338083e-06
-5.2346372566e-01 1.7174725631e-29
-5.2330589359e-01 8.5678624962e-08
-5.2322028213e-01 7.8208192817e-30
-5.2214520666e-01 3.2204700296e-04
-5.2150327103e-01 1.8518492894e-05
-5.2132205724e-01 5.0315684504e-29
-5.2002623883e-01 1.2020135367e-06
-5.1973234722e-01 1.7214849999e-05
-5.1908200515e-01 5.0448288972e-30
-5.1868329233e-01 1.7918439778e-29
-5.1844914695e-01 9.2797949048e-06
-5.1838056149e-01 2.1487739849e-29
-5.1760482630e-01 1.1160189501e-29
-5.1704956868e-01 8.7967876574e-27
-5.1703652542e-01 6.8363714784e-05
-5.1634453388e-01 1.2640618644e-27
-5.1629075305e-01 5.9636914522e-05
-5.1602071218e-01 7.2126158527e-07
-5.1579358330e-01 6.5141560587e-30
-5.1496557476e-01 1.1752611129e-06
-5.1457029649e-01 5.1003161022e-30
-5.1410713816e-01 4.5618683691e-05
-5.1394718638e-01 5.2194461290e-29
-5.1371660725e-01 8.4336572504e-29
-5.1357807267e-01 1.9257421118e-04
-5.1318646528e-01 5.6930862868e-07
-5.1317212159e-01 5.6267073673e-29
-5.1291311216e-01 3.8176576697e-06
-5.1269652745e-01 1.3537774321e-29
-5.1172611433e-01 1.0749586074e-07
-5.1108318896e-01 6.3819858826e-30
-5.1044031710e-01 7.1531184660e-30
-5.1003691556e-01 4.0321991274e-06
-5.1002129486e-01 5.5526758953e-07
-5.0901781137e-01 1.0241807932e-29
-5.0852279790e-01 5.5486831387e-07
-5.0721236310e-01 1.6040204450e-06
-5.0705138795e-01 1.9074548308e-30
-5.0684745984e-01 2.3910736092e-06
-5.0620401446e-01 1.8620964952e-29
-5.0613059335e-01 8.8677156999e-06
-5.0600798169e-01 1.6213617472e-05
-5.0496054120e-01 2.2082221069e-30
-5.0359734166e-01 1.6490558171e-29
-5.0351376561e-01 4.6222181159e-05
-5.0263184284e-01 2.2856692089e-07
-5.0201189098e-01 1.4033349088e-29
-5.0143725511e-01 3.8814134583e-30
-5.0026019888e-01 1.0176702938e-30
-4.9977798900e-01 1.6705603779e-30
-4.9931995407e-01 3.2868906752e-06
-4.9893427765e-01 2.3321869345e-30
-4.9840199887e-01 5.7693616804e-08
-4.9834185080e-01 5.3943209560e-30
-4.9818059852e-01 3.6079157089e-06
-4.9734545169e-01 4.6544156724e-30
-4.9664552876e-01 6.8889099799e-07
-4.9629071364e-01 5.3195973404e-30
-4.9557482485e-01 2.1369589030e-30
-4.9466751931e-01 1.5224246592e-30
-4.9449809090e-01 2.5417346478e-30
-4.9419284963e-01 3.4885389250e-07
-4.9394138400e-01 4.3936161617e-07
-4.9324509166e-01 2.4724703712e-30
-4.9249249795e-01 2.8560167739e-30
