# Energy    MatrixElement
-4.6961344718e-01 5.3759368410e-04
-4.6916334575e-01 7.9692530630e-04
-4.6881430784e-01 2.2960219661e-28
-4.6814093492e-01 7.4692220126e-28
-4.6808824542e-01 4.2912152039e-05
-4.6749487290e-01 2.0803090110e-04
-4.6651576365e-01 1.4325032333e-29
-4.6556834789e-01 1.2136086797e-05
-4.6466251402e-01 2.0827678779e-06
-4.6450269218e-01 2.7416294930e-28
-4.6421908178e-01 2.3775774651e-03
-4.6379672568e-01 7.2220554312e-07
-4.6293500735e-01 8.9858498670e-03
-4.6261082155e-01 1.0791488741e-27
-4.6227111844e-01 1.3395811360e-03
-4.6207736804e-01 5.2227155256e-28
-4.6125477683e-01 1.3231026122e-05
-4.6084455873e-01 9.0848124637e-29
-4.6012575403e-01 4.0004050523e-30
-4.5973511200e-01 3.8854594183e-07
-4.5957674731e-01 4.1825800831e-05
-4.5890438912e-01 5.2812039122e-29
-4.5790943533e-01 4.1744044390e-08
-4.5720600251e-01 1.2564482771e-29
-4.5616393261e-01 6.7037907858e-06
-4.5560277134e-01 8.8062274559e-30
-4.5517729217e-01 3.9568318283e-30
-4.5427986328e-01 6.1372308422e-30
-4.5370221159e-01 2.6966184607e-07
-4.5328911064e-01 9.1403269942e-30
-4.5321660148e-01 4.7371334424e-29
-4.5255709882e-01 7.6197631528e-29
-4.5204403642e-01 2.0545208127e-29
-4.5187732910e-01 3.3273330715e-05
-4.5128720187e-01 2.3811145949e-30
-4.5057993961e-01 1.6129429894e-30
-4.5015444946e-01 2.8525504099e-30
-4.4982581817e-01 5.8818110941e-10
-4.4962334340e-01 4.5185737438e-06
-4.4850291316e-01 5.2702266563e-30
-4.4797104799e-01 2.5826672383e-08
-4.4792474046e-01 1.0497697313e-29
-4.4776521126e-01 1.7519690649e-06
-4.4722931834e-01 1.3003873752e-27
-4.4719011393e-01 3.7388217077e-04
-4.4705004715e-01 1.7267144195e-28
-4.4495230067e-01 8.6810178918e-26
-4.4491713776e-01 4.3127476917e-03
-4.4471204917e-01 2.0635810864e-27
-4.4456030518e-01 4.8907856059e-04
-4.4348181379e-01 1.1270478703e-05
-4.4345616789e-01 8.8590522655e-29
-4.4252275710e-01 5.4248752461e-30
-4.4234901746e-01 2.6068375927e-29
-4.4152311846e-01 9.3926172521e-06
-4.4148495448e-01 5.7141819341e-09
-4.4116724602e-01 3.8089467360e-29
-4.4092913050e-01 1.0021233703e-04
-4.4035891376e-01 1.0645230764e-05
-4.3965122677e-01 2.0990107555e-29
-4.3949042383e-01 1.7392590626e-05
-4.3929716013e-01 1.5078851913e-29
-4.3875983805e-01 1.4275832420e-05
-4.3864354481e-01 4.7859692039e-29
-4.3831341178e-01 1.7918899466e-05
-4.3713673551e-01 2.2494536465e-05
-4.3692711044e-01 5.9661180904e-05
-4.3580109888e-01 3.2364050583e-30
-4.3552127351e-01 5.7090055666e-30
-4.3466806988e-01 5.2788995535e-05
-4.3280776074e-01 1.6466929840e-05
-4.3262102405e-01 1.7691811071e-05
-4.3261614611e-01 1.5919406383e-26
-4.3241514494e-01 4.6263055934e-29
-4.3138248168e-01 7.6173890201e-06
-4.3052716783e-01 1.0172549382e-30
-4.2954233880e-01 1.1742940894e-30
-4.2898706903e-01 2.2324730302e-05
-4.2859530473e-01 1.8291587462e-29
-4.2807412198e-01 1.6043029538e-07
-4.2730030554e-01 6.8127085746e-31
-4.2695679547e-01 4.1606085706e-08
-4.2661106401e-01 9.5257060182e-30
-4.2655823696e-01 2.4449831770e-07
-4.2498055734e-01 1.4993738759e-06
-4.2450374790e-01 2.0410263543e-07
-4.2411696374e-01 9.3252341469e-30
-4.2317355541e-01 1.5033019802e-30
-4.2235120303e-01 1.2086788881e-07
-4.2158000406e-01 3.0841412908e-06
-4.2118080961e-01 3.8611974036e-06
-4.2098783877e-01 1.7982788839e-29
-4.2056568906e-01 3.4239408916e-07
-4.2037661746e-01 4.3268023878e-07
-4.1985212976e-01 1.3418122523e-07
-4.1928280821e-01 2.4027752703e-29
-4.1915125436e-01 1.5406924798e-06
