# Energy    MatrixElement
-4.5973511200e-01 8.6861670319e-07
-4.5957674731e-01 5.8626719915e-05
-4.5890438912e-01 4.3928506991e-29
-4.5790943533e-01 5.4541782204e-07
-4.5720600251e-01 1.4933894132e-29
-4.5616393261e-01 4.2888061379e-07
-4.5560277134e-01 7.8345973882e-30
-4.5517729217e-01 1.0753352720e-29
-4.5427986328e-01 1.3252955872e-29
-4.5370221159e-01 1.1242378597e-07
-4.5328911064e-01 5.8279751748e-30
-4.5321660148e-01 2.5620055686e-29
-4.5255709882e-01 2.1713567878e-29
-4.5204403642e-01 5.6380193804e-30
-4.5187732910e-01 8.4002426293e-06
-4.5128720187e-01 7.2913458096e-30
-4.5057993961e-01 6.5118150003e-30
-4.5015444946e-01 3.6571914085e-30
-4.4982581817e-01 1.1674358834e-09
-4.4962334340e-01 6.4438999369e-06
-4.4850291316e-01 5.4224531723e-30
-4.4797104799e-01 1.8236536254e-06
-4.4792474046e-01 1.5856298115e-29
-4.4776521126e-01 3.3171883989e-07
-4.4722931834e-01 2.4672728248e-27
-4.4719011393e-01 1.0808243998e-03
-4.4705004715e-01 2.9778101825e-28
-4.4495230067e-01 1.5393747875e-25
-4.4491713776e-01 1.3562820838e-02
-4.4471204917e-01 7.3776725516e-27
-4.4456030518e-01 1.4119846539e-03
-4.4348181379e-01 6.5963869760e-06
-4.4345616789e-01 2.7873664475e-28
-4.4252275710e-01 6.4830047165e-29
-4.4234901746e-01 1.2377818541e-29
-4.4152311846e-01 2.0757908009e-05
-4.4148495448e-01 2.1292349604e-08
-4.4116724602e-01 2.1194554240e-28
-4.4092913050e-01 3.8666292537e-04
-4.4035891376e-01 3.3174759855e-05
-4.3965122677e-01 6.2059850859e-29
-4.3949042383e-01 4.4836039720e-05
-4.3929716013e-01 3.7391685957e-29
-4.3875983805e-01 1.3430883472e-05
-4.3864354481e-01 2.1952968308e-29
-4.3831341178e-01 1.9689793595e-05
-4.3713673551e-01 5.0893441044e-06
-4.3692711044e-01 4.6107559998e-06
-4.3580109888e-01 3.6546625519e-30
-4.3552127351e-01 3.5860632294e-30
-4.3466806988e-01 1.2087224172e-05
-4.3280776074e-01 4.0148531741e-05
-4.3262102405e-01 2.6672318462e-05
-4.3261614611e-01 1.0325800835e-25
-4.3241514494e-01 6.7202087350e-29
-4.3138248168e-01 2.0491792369e-05
-4.3052716783e-01 1.5173152599e-29
-4.2954233880e-01 8.6611402188e-30
-4.2898706903e-01 2.0804262419e-05
-4.2859530473e-01 1.2070508717e-29
-4.2807412198e-01 1.5531489872e-06
-4.2730030554e-01 2.5692339205e-30
-4.2695679547e-01 9.4407910826e-07
-4.2661106401e-01 7.3063239545e-29
-4.2655823696e-01 2.0197055060e-06
-4.2498055734e-01 9.6634939831e-07
-4.2450374790e-01 2.1901584829e-07
-4.2411696374e-01 6.5463381219e-30
-4.2317355541e-01 1.6959565710e-30
-4.2235120303e-01 7.2517757046e-08
-4.2158000406e-01 6.8433192136e-07
-4.2118080961e-01 1.5100257255e-06
-4.2098783877e-01 1.1843314875e-29
-4.2056568906e-01 8.1455786600e-07
-4.2037661746e-01 8.9136541902e-07
-4.1985212976e-01 8.6797913592e-08
-4.1928280821e-01 4.1456675802e-29
-4.1915125436e-01 1.5627074412e-06
-4.1783115626e-01 2.9784831415e-27
-4.1781223689e-01 1.2203630902e-05
-4.1756277423e-01 3.7974374641e-29
-4.1743064807e-01 5.7744772530e-06
-4.1577930551e-01 2.3476249364e-08
-4.1561776568e-01 6.6218437736e-30
-4.1514021520e-01 5.0628652226e-30
-4.1458592452e-01 4.2144328832e-30
-4.1347316085e-01 7.6114495553e-30
-4.1300113308e-01 1.4848944181e-30
-4.1257617359e-01 1.6855010779e-06
-4.1097272892e-01 2.3418615819e-09
-4.1041328205e-01 1.4456314028e-29
-4.0900324869e-01 9.5850635487e-06
-4.0889783795e-01 2.0790327617e-05
-4.0877635907e-01 1.6557589754e-28
-4.0863683201e-01 1.1470663398e-28
-4.0831445067e-01 3.3866105958e-06
-4.0765463316e-01 2.2070089854e-29
-4.0758845581e-01 1.4308557997e-06
-4.0702803432e-01 6.2946470803e-30
-4.0649194855e-01 8.2623108432e-29
-4.0597481897e-01 3.9365125142e-29
-4.0575629204e-01 4.7208453616e-05
-4.0570859939e-01 2.7898804437e-27
-4.0529296347e-01 1.0948261140e-27
-4.0515900399e-01 2.6965064900e-05
-4.0463810339e-01 9.0835505940e-29
-4.0341420495e-01 2.1036119364e-05
-4.0287356705e-01 6.0395190580e-29
-4.0248798580e-01 3.0104252701e-29
-4.0177563325e-01 3.2380884429e-29
-4.0058664413e-01 1.6191214299e-08
-3.9998205686e-01 7.4502429498e-31
-3.9908667766e-01 1.0250891383e-06
-3.9867515288e-01 3.6754833237e-09
-3.9714241952e-01 1.4151042481e-27
-3.9713394863e-01 2.1881606596e-05
-3.9678567236e-01 3.7483928238e-05
-3.9628478596e-01 1.6448348013e-29
-3.9572892748e-01 2.2427598146e-29
-3.9559619040e-01 3.1890428989e-07
-3.9466038854e-01 4.8209643375e-27
-3.9465053491e-01 1.2627845796e-06
-3.9336917581e-01 3.4687845601e-29
-3.9309328825e-01 4.0552895774e-07
-3.9209275327e-01 5.6045770590e-29
-3.9108577879e-01 1.4061992792e-06
-3.8956356227e-01 3.3563276447e-29
-3.8949116607e-01 1.4374541539e-08
-3.8923713575e-01 1.8696410963e-06
-3.8885139989e-01 4.6831216908e-06
-3.8844372320e-01 1.3159992290e-29
-3.8813489681e-01 6.6612366538e-30
-3.8689253378e-01 1.4803103348e-05
-3.8590590711e-01 7.8860531303e-30
-3.8511583230e-01 2.0424206523e-07
-3.8500198637e-01 6.1838462859e-30
-3.8409515577e-01 7.2846245766e-30
-3.8396180420e-01 3.4724946602e-29
-3.8372133262e-01 3.4165975943e-05
-3.8334781874e-01 1.2344710435e-29
-3.8256818469e-01 1.7052670534e-05
-3.8093470310e-01 3.0206245818e-06
-3.8040396598e-01 7.5510970826e-29
-3.8038533506e-01 1.1239505986e-06
-3.8017073374e-01 3.3135822117e-06
-3.7952238754e-01 3.7664580710e-07
-3.7871241746e-01 9.0764216765e-09
-3.7848544923e-01 1.8550294147e-30
-3.7804348888e-01 7.6594700937e-30
-3.7690923894e-01 6.9361611508e-05
-3.7630342581e-01 2.8259805594e-05
-3.7539474102e-01 9.4010266255e-28
-3.7537467951e-01 1.2485214990e-05
-3.7522654708e-01 5.3523579113e-28
-3.7482733190e-01 6.8816632975e-09
-3.7435987576e-01 8.3074433486e-30
-3.7363469152e-01 6.4702017399e-05
-3.7331112598e-01 8.9186949515e-07
-3.7306704866e-01 9.0706194666e-29
