# Energy    MatrixElement
-3.0591237572e-01 3.9135242182e-29
-3.0468232295e-01 3.3152112575e-30
-3.0452058268e-01 2.5635357174e-05
-3.0354893218e-01 2.4358485620e-30
-3.0272328913e-01 5.1221478186e-06
-3.0246015832e-01 2.4831117958e-30
-3.0210560398e-01 2.1039839987e-05
-3.0026518859e-01 2.0438764008e-07
-2.9931831314e-01 9.9750254323e-06
-2.9849568794e-01 3.0639221297e-06
-2.9843013901e-01 1.8290706259e-30
-2.9694202064e-01 2.6173839793e-05
-2.9544903300e-01 1.9962683743e-29
-2.9490984893e-01 3.5540303847e-05
-2.9489557474e-01 3.6597535296e-27
-2.9421401059e-01 5.3921192744e-04
-2.9380041995e-01 2.0751986216e-04
-2.9367917410e-01 2.1582152334e-28
-2.9307656982e-01 2.6404731697e-05
-2.9260621258e-01 5.1605140674e-06
-2.9052214722e-01 4.7953516588e-06
-2.8990414968e-01 2.4087149198e-29
-2.8965457450e-01 9.6230756276e-06
-2.8947456605e-01 7.6296672595e-30
-2.8939209711e-01 5.6151730457e-07
-2.8874473413e-01 4.7392332453e-30
-2.8783655737e-01 9.5955275281e-05
-2.8682691310e-01 4.9724974488e-30
-2.8583103680e-01 4.2175224767e-29
-2.8578246183e-01 2.8706642496e-06
-2.8490956443e-01 4.2658284901e-30
-2.8437296859e-01 3.8470689119e-05
-2.8393161997e-01 4.1871110580e-08
-2.8382691729e-01 1.4297609480e-29
-2.8324544621e-01 1.9705797414e-07
-2.8292299828e-01 1.3644642457e-07
-2.8204715327e-01 3.6094236483e-07
-2.8162522128e-01 4.0468799213e-30
-2.8076847821e-01 4.1955583463e-30
-2.7962213580e-01 4.9218543723e-30
-2.7930193125e-01 8.9485303834e-07
-2.7883388139e-01 3.6604673907e-30
-2.7849187555e-01 1.3650102300e-07
-2.7751243477e-01 4.6040228807e-30
-2.7710132890e-01 5.2094770607e-31
-2.7611722179e-01 7.4614017120e-29
-2.7604360748e-01 4.7339908622e-06
-2.7489316943e-01 4.6541954407e-07
-2.7238097464e-01 6.9953150663e-31
-2.7183051677e-01 9.2969600661e-30
-2.7148352959e-01 3.0563268410e-06
-2.7132486094e-01 5.1682649022e-30
-2.7113343491e-01 6.3480131894e-30
-2.7007241155e-01 1.0178341328e-28
-2.7004950145e-01 7.4683327031e-07
-2.6900626977e-01 1.2025064197e-30
-2.6727425852e-01 7.1521181143e-07
-2.6662084574e-01 1.2702417640e-07
-2.6598420369e-01 6.8737900809e-30
-2.6470142467e-01 4.5899146353e-06
-2.6363406658e-01 1.1445695542e-07
-2.6337094126e-01 3.6201395859e-29
-2.6295835561e-01 4.5797976528e-29
-2.6284131073e-01 1.0668514751e-06
-2.6183209574e-01 8.3191864880e-30
-2.6130978139e-01 1.8110695776e-07
-2.6052572013e-01 8.1751804405e-07
-2.5976164292e-01 3.6565655205e-07
-2.5926288296e-01 6.9742800231e-30
-2.5007552855e-01 1.1689878046e-29
-2.4985050126e-01 6.9040791214e-06
-2.4881160795e-01 2.5593579626e-30
-2.4804774772e-01 4.2513106556e-07
-2.4722646867e-01 3.4878990896e-30
-2.4677149034e-01 5.3670106760e-07
-2.4664314116e-01 5.9736317777e-30
-2.4535519148e-01 2.0787470059e-05
-2.4530740772e-01 3.9788792637e-28
-2.4404610701e-01 2.5025668139e-07
-2.4385054196e-01 9.8820564502e-07
-2.4322867398e-01 1.0965723995e-06
-2.4172417570e-01 9.7798731464e-06
-2.4043501086e-01 4.1159500043e-30
-2.4020220924e-01 1.0776019535e-30
-2.3974341866e-01 6.9573758163e-06
-2.3925524383e-01 9.0993326920e-30
-2.3832056371e-01 1.1969571098e-30
-2.3714030084e-01 3.9832710488e-07
-2.3701942417e-01 6.6009259914e-07
-2.3627675645e-01 1.2346987180e-30
-2.3559053636e-01 1.0492620607e-29
-2.3486146934e-01 2.2556408591e-06
-2.3447532970e-01 1.4843828920e-30
-2.3389231711e-01 1.4361245302e-28
-2.3301829418e-01 4.0234131230e-28
-2.3284226196e-01 1.9444961446e-04
-2.3040828797e-01 3.9888362397e-06
-2.3030062901e-01 2.4054934395e-30
-2.2969557475e-01 1.2418861396e-07
-2.2855555896e-01 1.8923236255e-30
-2.2808490977e-01 1.3780964381e-07
-2.2693765909e-01 9.3026006222e-30
-2.2593709767e-01 1.0039228450e-29
-2.2569063161e-01 1.9640270030e-29
-2.2553632243e-01 1.1174270384e-06
-2.2517845978e-01 1.2629298994e-29
-2.2424910880e-01 8.8020062211e-31
-2.2265038210e-01 7.8542219634e-06
-2.2255843085e-01 1.7945538884e-29
-2.2033587548e-01 1.2492591575e-05
-2.1880744482e-01 4.7592921144e-08
-2.1831611578e-01 1.4046112722e-05
-2.1830848238e-01 9.2845105039e-28
-2.1777372398e-01 4.1596091214e-08
-2.1594137266e-01 1.3753222435e-29
-2.1557871870e-01 2.1852320305e-07
-2.1443176927e-01 2.2324887403e-08
-2.1376751956e-01 1.1873825617e-30
-2.1311341550e-01 7.5331421366e-08
-2.1311243133e-01 5.1161328801e-28
-2.1179658678e-01 7.3576380895e-07
-2.1139858390e-01 3.2244528664e-05
-2.1077136388e-01 1.4423705068e-05
-2.0984828521e-01 2.0725478105e-05
-2.0949249960e-01 4.1305628218e-30
-2.0858773880e-01 5.5283143117e-05
-2.0782493678e-01 7.1585335117e-09
-2.0775927307e-01 6.5842224813e-30
-2.0585705518e-01 8.9750063181e-30
-2.0545557432e-01 6.4234089376e-30
-2.0486477314e-01 4.8910908035e-30
-2.0464291493e-01 5.0894777316e-30
-2.0432202913e-01 5.9349267560e-30
-2.0300452704e-01 1.3653504524e-04
-2.0210956453e-01 6.8498777202e-03
-2.0120567033e-01 7.2163408326e-06
-2.0102463928e-01 8.9127000202e-30
-2.0076532792e-01 2.2131959236e-05
